Date_of_publication,Municipality_name,Total_reported,Deceased
2020-05-15,Gorinchem,0,0
2020-05-16,Gorinchem,0,1
2020-05-17,Gorinchem,0,0
2020-05-18,Gorinchem,0,0
2020-05-19,Gorinchem,0,0
2020-05-20,Gorinchem,1,0
2020-05-21,Gorinchem,1,0
2020-05-22,Gorinchem,0,0
2020-05-23,Gorinchem,0,0
2020-05-24,Gorinchem,0,0
2020-05-25,Gorinchem,0,0
2020-05-26,Gorinchem,0,0
2020-05-27,Gorinchem,0,0
2020-05-28,Gorinchem,0,0
2020-05-29,Gorinchem,0,0
2020-05-30,Gorinchem,0,0
2020-05-31,Gorinchem,1,0
2020-05-01,Gouda,0,0
2020-05-02,Gouda,2,2
2020-05-03,Gouda,1,3
2020-05-04,Gouda,0,0
2020-05-05,Gouda,1,0
2020-05-06,Gouda,0,0
2020-05-07,Gouda,0,0
2020-05-08,Gouda,3,2
2020-05-09,Gouda,2,0
2020-05-10,Gouda,0,0
2020-05-11,Gouda,0,0
2020-05-12,Gouda,0,0
2020-05-13,Gouda,1,0
2020-05-14,Gouda,1,0
2020-05-15,Gouda,0,1
2020-05-16,Gouda,0,0
2020-05-17,Gouda,0,0
2020-05-18,Gouda,0,0
2020-05-19,Gouda,0,0
2020-05-20,Gouda,0,0
2020-05-21,Gouda,0,0
2020-05-22,Gouda,1,0
2020-05-23,Gouda,0,0
2020-05-24,Gouda,2,0
2020-05-25,Gouda,0,0
2020-05-26,Gouda,0,0
2020-05-27,Gouda,1,0
2020-05-28,Gouda,0,0
2020-05-29,Gouda,2,0
2020-05-30,Gouda,1,1
2020-05-31,Gouda,0,0
2020-05-01,Hardinxveld-Giessendam,0,0
2020-05-02,Hardinxveld-Giessendam,0,0
2020-05-03,Hardinxveld-Giessendam,1,0
2020-05-04,Hardinxveld-Giessendam,0,0
2020-05-05,Hardinxveld-Giessendam,0,0
2020-05-06,Hardinxveld-Giessendam,0,0
2020-05-07,Hardinxveld-Giessendam,0,0
2020-05-08,Hardinxveld-Giessendam,0,0
2020-05-09,Hardinxveld-Giessendam,0,0
2020-05-10,Hardinxveld-Giessendam,0,0
2020-05-11,Hardinxveld-Giessendam,2,0
2020-05-12,Hardinxveld-Giessendam,0,0
2020-05-13,Hardinxveld-Giessendam,1,0
2020-05-14,Hardinxveld-Giessendam,0,0
2020-05-15,Hardinxveld-Giessendam,0,0
2020-05-16,Hardinxveld-Giessendam,0,0
2020-05-17,Hardinxveld-Giessendam,0,0
2020-05-18,Hardinxveld-Giessendam,0,0
2020-05-19,Hardinxveld-Giessendam,0,0
2020-05-20,Hardinxveld-Giessendam,0,0
2020-05-21,Hardinxveld-Giessendam,0,0
2020-05-22,Hardinxveld-Giessendam,0,0
2020-05-23,Hardinxveld-Giessendam,0,0
2020-05-24,Hardinxveld-Giessendam,0,0
2020-05-25,Hardinxveld-Giessendam,0,0
2020-05-26,Hardinxveld-Giessendam,0,0
2020-05-27,Hardinxveld-Giessendam,1,0
2020-05-28,Hardinxveld-Giessendam,0,0
2020-05-29,Hardinxveld-Giessendam,0,0
2020-05-30,Hardinxveld-Giessendam,0,0
2020-05-31,Hardinxveld-Giessendam,0,0
2020-05-01,Hellevoetsluis,1,0
2020-05-02,Hellevoetsluis,0,0
2020-05-03,Hellevoetsluis,0,0
2020-05-04,Hellevoetsluis,0,0
2020-05-05,Hellevoetsluis,1,0
2020-05-06,Hellevoetsluis,0,0
2020-05-07,Hellevoetsluis,1,1
2020-05-08,Hellevoetsluis,0,0
2020-05-09,Hellevoetsluis,0,0
2020-05-10,Hellevoetsluis,0,0
2020-05-11,Hellevoetsluis,0,0
2020-05-12,Hellevoetsluis,0,0
2020-05-13,Hellevoetsluis,0,0
2020-05-14,Hellevoetsluis,1,0
2020-05-15,Hellevoetsluis,1,0
2020-05-16,Hellevoetsluis,0,0
2020-05-17,Hellevoetsluis,0,0
2020-05-18,Hellevoetsluis,1,0
2020-05-19,Hellevoetsluis,0,0
2020-05-20,Hellevoetsluis,0,0
2020-05-21,Hellevoetsluis,0,0
2020-05-22,Hellevoetsluis,0,0
2020-05-23,Hellevoetsluis,0,0
2020-05-24,Hellevoetsluis,1,0
2020-05-25,Hellevoetsluis,0,0
2020-05-26,Hellevoetsluis,0,0
2020-05-27,Hellevoetsluis,0,0
2020-05-28,Hellevoetsluis,0,1
2020-05-29,Hellevoetsluis,0,0
2020-05-30,Hellevoetsluis,0,0
2020-05-31,Hellevoetsluis,1,0
2020-05-01,Hendrik-Ido-Ambacht,1,1
2020-05-02,Hendrik-Ido-Ambacht,0,0
2020-05-03,Hendrik-Ido-Ambacht,0,0
2020-05-04,Hendrik-Ido-Ambacht,2,0
2020-05-05,Hendrik-Ido-Ambacht,1,0
2020-05-06,Hendrik-Ido-Ambacht,3,0
2020-05-07,Hendrik-Ido-Ambacht,2,0
2020-05-08,Hendrik-Ido-Ambacht,2,0
2020-05-09,Hendrik-Ido-Ambacht,0,0
2020-05-10,Hendrik-Ido-Ambacht,1,0
2020-05-11,Hendrik-Ido-Ambacht,0,0
2020-05-12,Hendrik-Ido-Ambacht,0,1
2020-05-13,Hendrik-Ido-Ambacht,1,0
2020-05-14,Hendrik-Ido-Ambacht,0,0
2020-05-15,Hendrik-Ido-Ambacht,0,0
2020-05-16,Hendrik-Ido-Ambacht,0,0
2020-05-17,Hendrik-Ido-Ambacht,1,0
2020-05-18,Hendrik-Ido-Ambacht,1,0
2020-05-19,Hendrik-Ido-Ambacht,3,0
2020-05-20,Hendrik-Ido-Ambacht,0,0
2020-05-21,Hendrik-Ido-Ambacht,1,0
2020-05-22,Hendrik-Ido-Ambacht,2,0
2020-05-23,Hendrik-Ido-Ambacht,0,0
2020-05-24,Hendrik-Ido-Ambacht,0,0
2020-05-25,Hendrik-Ido-Ambacht,1,0
2020-05-26,Hendrik-Ido-Ambacht,0,0
2020-05-27,Hendrik-Ido-Ambacht,5,0
2020-05-28,Hendrik-Ido-Ambacht,0,0
2020-05-29,Hendrik-Ido-Ambacht,0,1
2020-05-30,Hendrik-Ido-Ambacht,0,0
2020-05-31,Hendrik-Ido-Ambacht,1,0
2020-05-01,Hillegom,1,0
2020-05-02,Hillegom,1,0
2020-05-03,Hillegom,0,0
2020-05-04,Hillegom,0,0
2020-05-05,Hillegom,0,0
2020-05-06,Hillegom,0,0
2020-05-07,Hillegom,0,0
2020-05-08,Hillegom,1,0
2020-05-09,Hillegom,1,0
2020-05-10,Hillegom,0,0
2020-05-11,Hillegom,0,0
2020-05-12,Hillegom,0,0
2020-05-13,Hillegom,0,0
2020-05-14,Hillegom,0,0
2020-05-15,Hillegom,1,0
2020-05-16,Hillegom,0,0
2020-05-17,Hillegom,0,0
2020-05-18,Hillegom,0,0
2020-05-19,Hillegom,0,0
2020-05-20,Hillegom,0,0
2020-05-21,Hillegom,0,0
2020-05-22,Hillegom,0,0
2020-05-23,Hillegom,0,0
2020-05-24,Hillegom,0,0
2020-05-25,Hillegom,0,0
2020-05-26,Hillegom,0,0
2020-05-27,Hillegom,0,0
2020-05-28,Hillegom,0,0
2020-05-29,Hillegom,0,0
2020-05-30,Hillegom,0,0
2020-05-31,Hillegom,0,0
2020-05-01,Hoeksche Waard,6,3
2020-05-02,Hoeksche Waard,5,0
2020-05-03,Hoeksche Waard,4,0
2020-05-04,Hoeksche Waard,2,0
