Date_of_publication,Municipality_name,Total_reported,Deceased
2020-04-13,Gouda,8,1
2020-04-14,Gouda,8,3
2020-04-15,Gouda,5,1
2020-04-16,Gouda,18,1
2020-04-17,Gouda,15,1
2020-04-18,Gouda,8,0
2020-04-19,Gouda,0,0
2020-04-20,Gouda,2,1
2020-04-21,Gouda,0,4
2020-04-22,Gouda,10,1
2020-04-23,Gouda,3,2
2020-04-24,Gouda,2,0
2020-04-25,Gouda,2,0
2020-04-26,Gouda,1,0
2020-04-27,Gouda,4,1
2020-04-28,Gouda,0,0
2020-04-29,Gouda,1,4
2020-04-30,Gouda,3,1
2020-04-01,Hardinxveld-Giessendam,0,0
2020-04-02,Hardinxveld-Giessendam,2,0
2020-04-03,Hardinxveld-Giessendam,1,0
2020-04-04,Hardinxveld-Giessendam,0,1
2020-04-05,Hardinxveld-Giessendam,0,0
2020-04-06,Hardinxveld-Giessendam,1,0
2020-04-07,Hardinxveld-Giessendam,0,0
2020-04-08,Hardinxveld-Giessendam,1,0
2020-04-09,Hardinxveld-Giessendam,1,0
2020-04-10,Hardinxveld-Giessendam,4,0
2020-04-11,Hardinxveld-Giessendam,3,0
2020-04-12,Hardinxveld-Giessendam,0,0
2020-04-13,Hardinxveld-Giessendam,0,0
2020-04-14,Hardinxveld-Giessendam,0,0
2020-04-15,Hardinxveld-Giessendam,0,0
2020-04-16,Hardinxveld-Giessendam,1,0
2020-04-17,Hardinxveld-Giessendam,2,0
2020-04-18,Hardinxveld-Giessendam,0,0
2020-04-19,Hardinxveld-Giessendam,0,0
2020-04-20,Hardinxveld-Giessendam,0,0
2020-04-21,Hardinxveld-Giessendam,0,0
2020-04-22,Hardinxveld-Giessendam,0,0
2020-04-23,Hardinxveld-Giessendam,1,0
2020-04-24,Hardinxveld-Giessendam,0,0
2020-04-25,Hardinxveld-Giessendam,0,0
2020-04-26,Hardinxveld-Giessendam,0,0
2020-04-27,Hardinxveld-Giessendam,0,0
2020-04-28,Hardinxveld-Giessendam,0,0
2020-04-29,Hardinxveld-Giessendam,1,0
2020-04-30,Hardinxveld-Giessendam,0,0
2020-04-01,Hellevoetsluis,4,0
2020-04-02,Hellevoetsluis,1,0
2020-04-03,Hellevoetsluis,2,0
2020-04-04,Hellevoetsluis,0,0
2020-04-05,Hellevoetsluis,6,0
2020-04-06,Hellevoetsluis,1,0
2020-04-07,Hellevoetsluis,3,0
2020-04-08,Hellevoetsluis,2,0
2020-04-09,Hellevoetsluis,4,0
2020-04-10,Hellevoetsluis,1,0
2020-04-11,Hellevoetsluis,5,0
2020-04-12,Hellevoetsluis,2,0
2020-04-13,Hellevoetsluis,3,0
2020-04-14,Hellevoetsluis,0,0
2020-04-15,Hellevoetsluis,1,0
2020-04-16,Hellevoetsluis,1,0
2020-04-17,Hellevoetsluis,1,1
2020-04-18,Hellevoetsluis,1,0
2020-04-19,Hellevoetsluis,1,0
2020-04-20,Hellevoetsluis,1,0
2020-04-21,Hellevoetsluis,0,0
2020-04-22,Hellevoetsluis,0,0
2020-04-23,Hellevoetsluis,1,0
2020-04-24,Hellevoetsluis,0,0
2020-04-25,Hellevoetsluis,1,0
2020-04-26,Hellevoetsluis,0,0
