,,Gemiddeld,40% huishoudens,20% huishoudens
,,persoonlijk ,met laagste,met hoogste
,,inkomen,besteedbaar,besteedbaar
,,per inwoner,inkomen,inkomen
,,,,
,Regionaam,x 1000 euro,%,
,Wijk 01 Woerden-Midden,27.9,36.9,21.5
,Wijk 02 Woerden-West,28.4,32,25.9
,Wijk 03 Woerden-Oost,33.6,15.5,43.6
,Wijk 04 Buitengebied Woerden-West,35.3,25.9,36.1
,Wijk 05 Buitengebied Woerden-Oost,33.2,11.3,57.6
,Wijk 06 Harmelen,29.9,25.6,31.1
,Wijk 07 Kamerik,29,26.2,31.6
,Wijk 08 Zegveld,27.6,26.1,32.1
GM0637,Zoetermeer,27.7,35.3,21.1
,Centrum,25.9,48.9,10.5
,Meerzicht,23.7,46.1,12.4
,Buytenwegh de Leyens,27.1,36.3,18.9
,Seghwaert,26.6,33.9,18
,Noordhove,31,26.5,30.1
,Rokkeveen,31.2,24.3,30.8
,Oosterheem,28.7,23.6,33.1
,Industriegebied,30.1,27.4,30.5
,Buitengebied,37.7,19.8,45.7
GM0638,Zoeterwoude,29.6,25.9,30.4
,Zoeterwoude-Dorp,29.5,27.9,28.1
,Westeinde,31.9,.,.
,Zuidbuurt,30.5,23.9,33.7
,Weipoort,33.8,14.6,45.1
,Gelderswoude,.,.,.
,Verspreide huizen,.,.,.
,Zoeterwoude-Rijndijk,29.2,25.2,30.3
GM0642,Zwijndrecht,26,39,18.2
,Wijk 01 Walburg,26.5,45.9,17.2
,Wijk 02 Centrum,26.5,39.3,17.3
,Wijk 03 Noord,23,44.8,13.3
,Wijk 04 Heer Oudelands Ambacht,29.7,18.6,30.1
,Wijk 05 Kort Ambacht,23.1,42.9,11.5
,Wijk 06 Nederhoven,25.3,40.1,17.4
,Wijk 07 Verspreide bebouwing,30.8,.,.
,Wijk 08 Bebouwde kom Heerjansdam,28.4,34,23.8
,Wijk 09 Landelijk gebied Heerjansdam,33.7,18.9,45.3
GM0654,Borsele,26,31.3,22.1
,Baarland,25.1,28.1,21.7
,Borssele,21.5,33.8,20.1
,Driewegen,29.4,23.6,27.3
,Ellewoutsdijk,26.6,34.6,14.6
,Heinkenszand,28,30.1,23.4
,Hoedekenskerke,25.9,28.9,22.1
,Kwadendamme,28,37.1,22.6
,Lewedorp,26.3,29.9,21.4
,Nieuwdorp,25.1,30.5,20.2
,Nisse,29.8,25.6,27.4
,Oudelande,27.7,27.8,24.5
,Ovezande,26.9,36.7,21.2
,'s-Gravenpolder,23,30.6,21.8
,'s-Heer Abtskerke,29.7,23,32.4
,'s-Heerenhoek,25.5,37.7,17.4
GM0664,Goes,26.5,39.6,18.2
,Wijk 01 Goes,25.9,43.9,15.5
,Wijk 02 Wilhelminadorp,27.5,26.4,29.8
,Wijk 03 Kloetinge,29.7,22.6,29.9
,Wijk 04 Kattendijke,30,23.5,28.7
,Wijk 05 's-Heer-Arendskerke,27.7,29.6,22.5
,Wijk 06 Eindewege,25.7,.,.
,Wijk 07 's-Heer-Hendrikskinderen,30,19.5,31.6
,Wijk 08 Wolphaartsdijk,25.6,34.9,19.8
,Wijk 09 Oud-Sabbinge,27.9,23.3,30.2
GM0668,West Maas en Waal,26.8,32.8,23.6
,Wijk 01 Alphen,27.5,30.4,25.3
,Wijk 02 Altforst,27.5,21.1,35.2
,Wijk 03 Appeltern,30.5,26.1,29.9
,Wijk 04 Beneden-Leeuwen,25.6,37.7,19.5
,Wijk 05 Boven-Leeuwen,26.6,30.2,25.8
,Wijk 06 Dreumel,27.3,31,24.8
,Wijk 07 Maasbommel,28.3,31.3,25.6
,Wijk 08 Wamel,27.1,31.2,24.9
GM0677,Hulst,27.1,36.9,19.7
,Hulst,27.6,39.9,18.9
,Sint Jansteen,27.2,32,20.1
,Clinge,25.6,38.3,17.8
,Graauw,26.2,37.5,20
,Heikant,29.4,28,25.7
,Nieuw Namen,27.9,33.3,22.3
,Kapellebrug,27.4,37.5,20.8
,Kloosterzande,25.7,37.6,19.6
,Lamswaarde,26.1,36.8,17
,Terhole,26.5,39.4,20.6
,Vogelwaarde,25.3,36,21
,Hengstdijk,27.6,31.8,21.7
,Ossenisse,30.3,29,21.4
,Kuitaart,31,26,20
,Walsoorden,26.5,25.2,19.4
GM0678,Kapelle,26.4,28,25
,Wijk 00 Kapelle,26.2,26.7,26.5
,Wijk 01 Wemeldinge,26.9,32,22.1
,Wijk 02 Schore,27.3,25,16.7
GM0687,Middelburg,25.9,40.7,16.6
,Binnenstad,30.9,49.9,14.3
,Griffioen,26.5,33.6,15.7
,Klarenbeek,27.1,39.3,21.6
,Nieuw Middelburg,23.3,55.9,8.2
,Brigdamme,29.3,18.9,32.1
,Sint Laurens,26.6,23.9,22.2
,Ramsburg,.,.,.
,Veersepoort,34.3,19.4,32.3
,Verspreide huizen in het noorden,.,.,.
,Verspreide huizen in het noordwesten,.,.,.
,Verspreide huizen in het noordoosten,.,.,.
,Stromenwijk/'t Zand,23.4,49.4,11
,Verspreide huizen in het zuidwesten,27.3,25.2,28.2
,Middelburg Zuid,24.7,34.1,15.8
,Dauwendaele,20.8,52.5,7.7
,Arnestein,.,.,.
,Mortiere,31.1,7.6,46.2
,Nieuw- en Sint Joosland,24.9,34.2,15.3
,Verspr.h. Nieuw- en Sint Joosland,25.9,.,.
,Arnemuiden,24.2,32,22.5
,Kleverskerke,.,.,.
,Oranjeplaat,.,.,.
,Veerse Meer,.,.,.
,Verspreide huizen Arnemuiden,24.9,.,.
GM0703,Reimerswaal,23.2,35,19.3
,Wijk 00 Yerseke,24.1,33.7,20.4
,Wijk 01 Kruiningen,22.7,33.3,19.7
,Wijk 02 Krabbendijke,21.8,31.1,19.5
,Wijk 03 Waarde,22.1,23.5,28.3
,Wijk 04 Rilland-Bath,23.9,44.3,15
,Wijk 05 Hansweert,24.1,44.2,13.4
,Wijk 06 Oostdijk,22.3,17.9,35.9
GM0715,Terneuzen,26.2,39.6,17.1
,Kern Axel,24.9,45.7,13.7
,Buitengebied Axel,28.3,25.9,31
,Kern Biervliet,26.4,36.7,16.5
,Buitengebied Biervliet,30.5,30.6,41.8
,Kern Hoek,25,37.4,15.5
,Buitengebied Hoek,27.9,26.3,29
,Kern Koewacht,26.1,35.4,18.3
,Buitengebied Koewacht,29.6,22.6,31.1
,Kern Overslag,24.8,.,.
,Buitengebied Overslag,.,.,.
,Kern Philippine,29.6,28.9,21.9
,Buitengebied Philippine,26.6,.,.
,Kern Sas van Gent,22.9,48.6,9.3
,Buitengebied Sas van Gent,28.6,33.3,22.4
,Kern Sluiskil,23.8,43.5,13.3
,Buitengebied Sluiskil,.,.,.
,Kern Spui,31.2,.,.
,Buitengebied Spui,.,.,.
,Buitengebied Terneuzen,.,.,.
,Terneuzen Centrum,25.3,64.8,7.5
,Terneuzen Noord,24,44,11.1
,Terneuzen West,31.9,.,.
,Terneuzen Zuid,26.7,36.1,18.9
,Terneuzen Oost,35,8.5,47.1
,Kern Westdorpe,26.5,36.4,17.6
,Buitengebied Westdorpe,.,.,.
,Kern Zaamslag,24.9,35.6,18.6
,Buitengebied Zaamslag,30.2,23.1,29.2
,Kern Zuiddorpe,26.7,36.7,17.7
,Buitengebied Zuiddorpe,32.9,.,.
GM0716,Tholen,24.1,34.8,20.4
,Tholen,25.6,33.6,23.6
,Poortvliet,23.4,32.5,19.4
,Scherpenisse,21.3,33.3,19.1
,Sint-Maartensdijk,23.2,41.7,15.6
,Stavenisse,21.3,38.3,18.8
,Sint-Annaland,23.8,34.6,18.9
,Oud-Vossemeer,24.8,33.9,21.1
,Sint Philipsland,24.9,29.7,21.2
GM0717,Veere,26.5,29,23.5
,Wijk 00 Veere,28.7,28.6,28.2
,Wijk 01 Gapinge,29.7,27.6,26.2
,Wijk 02 Vrouwenpolder,28.7,33.9,20.2
,Wijk 03 Serooskerke,25.4,26.4,23.3
,Wijk 04 Domburg,29.8,32.5,21.8
,Wijk 05 Oostkapelle,26.5,29,22.1
,Wijk 06 Aagtekerke,21.7,26.6,26.9
,Wijk 07 Grijpskerke,26,29.3,23.1
,Wijk 08 Meliskerke,20.8,25.6,22.8
,Wijk 09 Koudekerke,27.5,26.5,23.6
,Wijk 10 Biggekerke,27.6,29.2,24.6
,Wijk 11 Zoutelande,28.7,28.4,25.4
,Wijk 12 Westkapelle,26,32.2,21.1
GM0718,Vlissingen,24.7,46.9,12.5
,Binnenstad,25.3,63,7
,Middengebied,22.5,58.2,8.2
,Paauwenburg - Westduin,27.4,37.3,17.3
,Lammerenburg,26.3,29.4,21.3
,Oost-Souburg,23.4,38.3,12.4
,Ritthem e.o.,27.9,26.1,24.3
,Binnen- en Buitenhavens,.,.,.
,Sloegebied,.,.,.
GM0736,De Ronde Venen,32,28.4,31.2
,Mijdrecht,28.5,32.1,24.6
,de Hoef,34.5,18.1,36.4
,Amstelhoek,32.5,24.8,29.4
,Vinkeveen,32.1,29.4,30.6
,Waverveen,29.8,26.2,37.7
,Wilnis,30.2,26.5,31.6
,Abcoude,39.2,23.1,43.7
,Baambrugge,37.9,25.1,38.4
GM0737,Tytsjerksteradiel,23.9,34.2,17.8
,Wijk 00 Burgum,23.1,39,15.3
,Wijk 01 Aldtsjerk,26,36.4,19.6
,Wijk 02 Mûnein,24.5,30.9,18.8
,Wijk 03 Ryptsjerk,24.8,31,23.6
,Wijk 04 Tytsjerk,25.7,23.6,23.7
,Wijk 05 Earnewâld,23.5,32.2,20
,Wijk 06 Sumar,22.1,32.7,15.1
,Wijk 07 Eastermar,23.1,33.1,20.1
,Wijk 08 Noordburgum,23,30.5,18.6
,Wijk 09 Hurdegaryp,24.1,33.5,16
GM0743,Asten,25.8,34.4,22.6
,Asten industrie noord,30.3,.,.
,Asten buitengebied oost,28.1,30.2,42
,Asten noord,22.2,36.6,16
,Asten oost,25.2,37.5,20.3
,Asten zuid,26.7,27.6,23.5
,Asten centrum / west,28,38.5,19.5
,Asten buitengebied west,28.9,21.6,46.6
,Heusden wonen,25.5,32,28.5
,Heusden recreatie,.,.,.
,Ommel wonen,26.5,32.9,29
,Ommel recreatie,20.1,64.6,3.5
GM0744,Baarle-Nassau,26.2,36.6,22.4
,Baarle-Nassau,26,38,20.7
,Ulicoten,27.5,29.7,31.8
,Castelré,27.2,.,.
GM0748,Bergen op Zoom,26.3,39.2,18.8
,Wijk 00 Bergen op Zoom-Oude stad e.o.,27,48.3,13.1
,Wijk 01 Bergen op Zoom-Noord,27,34.3,20.2
,Wijk 02 Bergen op Zoom-Oost,21.6,48.4,12.4
,Wijk 03 Bergen op Zoom-West,31.3,23.1,33.4
,Wijk 04 Halsteren,28.3,29.1,24.9
,Wijk 05 Lepelstraat,26.4,32,20.4
GM0753,Best,29.5,29.4,27.3
,Wijk 00 Best,29.5,29.4,27.3
GM0755,Boekel,25.2,27.6,26.6
,Wijk 00 Boekel,25.2,28.7,25.5
,Wijk 01 Venhorst,25.1,21.8,32.2
GM0757,Boxtel,26.6,36.1,21.1
,Wijk 00 Boxtel,25.9,39.4,17.9
,Wijk 01 Lennisheuvel,29.4,19.3,39.1
,Wijk 02 Liempde,28.1,25.6,31.7
,Esch,27.6,26.4,28.6
,Verspr huizen Esch,37.4,19.6,37.3
GM0758,Breda,28.8,42,20.9
,Breda centrum,30.3,61.1,10.3
,Breda noord,22.1,53.1,11.2
,Breda oost,29.6,44.6,20.9
,Breda zuid-oost,33.1,33.5,27
,Breda zuid,36.3,32.9,32
,Breda west,25.6,49.4,15.7
,Breda noord-west,27.3,32.2,22.1
,Bavel,34.5,22.6,38.6
,Ulvenhout,34.1,25.1,36.7
,Prinsenbeek,30.9,22.8,32.5
,Teteringen,32.4,22.9,36.5
GM0762,Deurne,25.9,34.3,21.3
,Wijk 00 Deurne,25.7,35.2,20.3
,Wijk 01 Vlierden,29.9,19.6,36.5
,Wijk 02 Liessel,24.8,33.9,20.7
,Wijk 03 Neerkant,25.4,29.5,25.2
,Wijk 04 Helenaveen,28.2,37.5,22.9
GM0765,Pekela,21,47.2,9.8
,Wijk 00,20.6,49.1,9.1
,Wijk 01,21.7,44,11
GM0766,Dongen,26.6,31.7,22.3
,Dongen,26.4,32.1,21.8
,'s Gravenmoer,29.3,28.2,27.8
GM0770,Eersel,29.3,27.6,28.3
,Eersel,28.8,31.4,25.7
,Duizel,29,21.9,30.2
,Steensel,30.8,21.3,28.5
,Vessem,30.2,25,32.9
,Wintelre,27.9,22.2,31.6
,Knegsel,32.5,23.5,34.6
GM0772,Eindhoven,27.6,48.4,15.9
,Centrum,35,58.3,12
,Oud-Stratum,32.4,52.4,16.9
,Kortonjo,31.7,40.9,25.1
,Putten,27.3,47.6,17.6
,De Laak,32.3,49.6,20.2
,Doornakkers,22.5,55.7,10.5
,Oud-Tongelre,28.8,46.1,15.9
,Oud-Woensel,24.2,66.5,7
,Erp,23.1,61.5,8.2
,Begijnenbroek,26,50.2,11.6
,Ontginning,23.6,53.7,10.7
,Achtse Molen,30.1,25.4,26.3
,Aanschot,28.1,31.8,26.3
,Dommelbeemd,24.5,45,14.3
,Oud-Strijp,30.6,52,14.1
,Halve Maan,24.9,53.1,12.6
,Meerhoven,32.6,19.4,36.4
,Rozenknopje,30.4,52.7,16.6
,Oud-Gestel,23,59.6,7.7
,Gestelse Ontginning,28.4,34.8,21.1
GM0777,Etten-Leur,26.7,33.5,21.5
,Midden woongebied,25.6,40.4,16.5
,Midden Bedrijventerrein,.,.,.
,Midden landelijk gebied,37.6,.,.
,Noord woongebied,27.1,30,24.4
,Noord bedrijventerrein,.,.,.
,Noord landelijk gebied,30.7,17.9,45.5
,Zuid woongebied,26,34.6,18.4
,Zuid bedrijventerrein West,30.3,.,.
,Zuid bedrijventerrein Oost,.,.,.
,Zuid landelijk gebied,30,22.5,37.4
GM0779,Geertruidenberg,26.8,33.8,20.9
,Wijk 00 Raamsdonksveer,26.7,33.7,21
,Wijk 01 Raamsdonk,28.1,27.9,30.7
,Wijk 02 Geertruidenberg,26.6,35.7,18
GM0784,Gilze en Rijen,26.4,33.7,21.8
,Rijen,26,34.1,20.5
,Gilze,26.5,34.4,22.4
,Hulten,37.3,12.8,55
,Molenschot,28.2,30.7,27.4
GM0785,Goirle,27.9,29,25.4
,Wijk 01 Goirle-Centrum,26.1,47.7,12.6
,Wijk 02 Grobbendonck,27.2,21,26.4
,Wijk 03 De Groote Akkers,28.6,25.6,26.8
,Wijk 04 De Hoge Wal,27.3,15.8,37.9
,Wijk 05 Abcoven,26.8,43.1,15.5
,Wijk 06 Wildackers,24.6,40.8,16.6
,Wijk 07 't Ven,30.4,22.6,31.8
,Wijk 08 De Boschkens,33.7,16.6,37.6
,Wijk 09 De Hellen,28,22.1,25.3
,Wijk 10 De Nieuwe Erven,31.7,19.5,38.3
,Wijk 11 Hoogeind,22.6,49.8,13.7
,Wijk 12 Sportpark Van den Wildenberg,.,.,.
,Wijk 13 Bedrijventerrein Tijvoort,27.8,.,.
,Wijk 14 Verspreide huizen Goirle,28.7,18.4,49.5
,Wijk 20 Riel,29.1,21.7,31.2
,Wijk 21 Bedrijventerrein Riel,32.6,.,.
,Wijk 22 Sportpark De Krim,.,.,.
,Wijk 23 Verspriede huizen Riel,26.4,.,.
GM0794,Helmond,25,41.6,17.3
,Wijk 10 Binnenstad,21.6,60.5,6.6
,Wijk 11 Helmond-Oost,19.7,59.7,5.9
,Wijk 12 Helmond-Noord,20.2,49.8,8.4
,Wijk 13 't Hout,25,33.5,18.4
,Wijk 14 Brouwhuis,24.2,37.5,16.5
,Wijk 15 Helmond-West,20.7,56.7,8.7
,Wijk 16 Warande,36.9,18.1,37.6
,Wijk 17 Stiphout,32.8,23.8,33.5
,Wijk 18 Rijpelberg,23.6,35.7,12.3
,Wijk 19 Dierdonk,33.1,7.8,49.8
,Wijk 21 Brandevoort,31.8,17.2,41.2
,Wijk 29 Industriegebied Zuid,22,39,22.8
GM0796,'s-Hertogenbosch,29,39.8,21.8
,Binnenstad,36.3,53.5,15.9
,Zuidoost,27.9,47.9,15
,Graafsepoort,25.8,48.4,15
,Muntel / Vliert,30.5,48.5,19.7
,Rosmalen-Zuid,33.6,21.4,35.8
,Rosmalen-Noord,29.3,27.7,28.4
,De Groote Wielen,31.9,19.8,43.6
,Empel,31.5,18.2,42.1
,Noord,23.6,47.7,14.5
,Maaspoort,29.6,27.2,26.3
,West,26,48.1,13.1
,Engelen,35.6,13.9,45.4
,Nuland,28.4,25.4,31.5
,Vinkel,27.4,31,28.6
GM0797,Heusden,27.3,31.6,24.5
,Wijk 01 Drunen,26.9,30.8,23
,Wijk 02 Elshout,27.5,24.7,32.8
,Wijk 03 Haarsteeg,27.6,24.4,37
,Wijk 04 Nieuwkuijk,29,30.8,29.8
,Wijk 05 Vlijmen,27.7,32.6,24.1
,Wijk 06 Doeveren,.,.,.
,Wijk 07 Hedikthuizen,31.5,23.8,43.8
,Wijk 08 Heesbeen,42.9,.,.
,Wijk 09 Herpt,31.7,21.2,35.9
,Wijk 10 Heusden,29.9,45.8,19.7
,Wijk 11 Oudheusden,22.1,37.3,14.9
GM0798,Hilvarenbeek,28.7,27.3,29.6
,Wijk 00 Hilvarenbeek,28.9,29.7,28.4
,Wijk 01 Esbeek,29.3,20.3,35.1
,Wijk 02 Biest-Houtakker,30.4,22.7,38.2
,Wijk 03 Diessen,27.8,26.2,27.4
,Wijk 04 Haghorst,28.2,20.5,35.7
GM0809,Loon op Zand,26.8,32.9,21.9
,Wijk 10 Kaatsheuvel-West,25.2,35.9,19.3
,Wijk 20 Kaatsheuvel-Oost,27.5,32.8,22.1
,Wijk 30 Loon op Zand,28.6,29.3,24.5
,Wijk 40 De Moer,29.5,21.2,37.3
GM0820,"Nuenen, Gerwen en Nederwetten",31.4,25.4,29.5
,Wijk 00 Nuenen,31.6,25.7,28.9
,Wijk 01 Gerwen,29.4,23.4,33.3
,Wijk 02 Nederwetten,31.2,22,35.1
GM0823,Oirschot,28.8,27,30.1
,Wijk 00 Oirschot,28.9,29.1,28
,Wijk 01 Spoordonk,30,26.8,35
,Wijk 02 Middelbeers en Westelbeers,28.1,22.9,33
,Wijk 03 Oostelbeers,27.8,22.4,31.2
GM0824,Oisterwijk,30.3,30.2,28
,Verspr.h. westen en noorden Moerg.,31.7,32.7,40.2
,Pannenschuur,27.7,31.8,24.9
,Heukelom,24.3,.,.
,Buitengebied (Zuid),31.1,35.4,31.1
,Omgeving Vinkenberg / Heuvelstraat,29,.,.
,Omgeving George Perklaan,42.3,.,.
,Centrum Moergestel,29.1,25.9,28.5
,'t Westend / 't Seuverick,24.1,37.1,17.8
,Bunders / Levenskerk,40.1,17,44.6
,Buitengebied Kerkhoven,31,.,.
,Waterhoef / Klompven,28.5,37.8,23
,Omgeving Industrieterr. Kerckhoven Laara,37.4,.,.
,Centrum Oisterwijk,30.9,46.2,15.1
,Verspr.h. oosten en zuiden Moerg.,39.2,15.8,46
,Omgeving Broekzijde,27.2,.,.
,Buitengebied Pannenschuur,.,.,.
,Buitengebied Laarakkers,.,.,.
,KVL,33.6,12.3,42.5
,Sportpark Den Donk e.o.,.,.,.
,Haaren,29.8,28.6,28.9
GM0826,Oosterhout,27.1,35.9,20.3
,Wijk 00 Oosterhout-Centrum,26.9,51.7,10.8
,Wijk 01 Slotjes,25.8,43.9,13.7
,Wijk 02 West,29,27.7,26.1
,Wijk 03 Strijen,24.3,34.7,17.5
,Wijk 04 Leijsenakkers,32,20.5,28.4
,Wijk 05 Oosterheide,22.9,47.8,13
,Wijk 06 Dommelbergen,26.6,30.1,20.6
,Wijk 07 Vrachelen,32.3,20.3,34.2
,Wijk 08 Industrieterrein Zuid,26.1,.,.
,Wijk 09 Industrieterrein Noord,.,.,.
,Wijk 10 Buitengebied Oosterhout,32.3,.,.
,Wijk 11 Den Hout,30.9,18.4,43.3
,Wijk 12 Oosteind,29.9,20.7,35.9
,Wijk 13 Dorst,29.9,27,32.2
GM0828,Oss,26.1,36.5,20.2
,Centrum,24.7,60.8,8
,Schadewijk,23.6,47,12.5
,Industrieterreinen-Zuid,25.7,23.9,34.8
,Oss-Zuid,27.8,39.6,18.2
,Krinkelhoek,26.3,31.2,23.9
,Industrieterreinen-Noord,28,.,.
,Ruwaard,23.4,42.8,12.3
,Ussen,27.2,29.9,20.8
,Buitengebied-Noord,24.2,24.1,49.1
,Buitengebied-Zuid,37.2,22.6,44.3
,Berghem,27.2,24,28.6
,Haren,28,24.6,34
,Macharen,26.4,28.8,25.8
,Megen,27,31.3,25.6
,Ravenstein,27.7,34.5,23.4
,Herpen,26,33.9,24.4
,Overlangel,31.3,24.4,38.5
,Deursen en Dennenburg,29.2,23.1,35.1
,Lith,26.3,27.2,25.9
,Lithoijen,29.2,16.6,42.1
,Oijen,27,28.7,30.8
,Maren-Kessel,29.2,27.5,28.4
,Geffen,27.4,29,28.6
GM0840,Rucphen,25.3,35.8,20.3
,Wijk 00 Rucphen,26.5,32.2,23.5
,Wijk 01 Sint Willebrord,24,39.6,15.8
,Wijk 02 Sprundel,25.8,34,22.7
,Wijk 03 Schijf,26.6,31.4,28.1
,Wijk 04 Zegge,26.5,34.2,21.9
GM0845,Sint-Michielsgestel,29.3,27.6,31
,Wijk 00 Sint-Michielsgestel,30,29.8,28.7
,Wijk 01 Gemonde,29.1,22.8,37.7
,Wijk 02 Den Dungen,28.6,27.4,32.5
,Wijk 03 Berlicum,29.1,28,30.5
,Wijk 04 Middelrode,28.6,20.5,34.2
GM0847,Someren,26,32.6,23.2
,Wijk 00 Someren,25.6,34.9,20.9
,Wijk 01 Lierop,28.6,24.7,30.2
,Wijk 02 Someren-Eind,25.5,31.2,24.1
,Wijk 03 Somerense Heide,26.4,25.7,31.6
,Wijk 09,.,.,.
GM0848,Son en Breugel,31,24.9,29.2
,Wijk 00 Son,32.8,24.3,32.5
,Wijk 01 Breugel,26.3,26.5,20.7
GM0851,Steenbergen,26.2,41.2,18.9
,Wijk 00 Steenbergen,25.6,46.5,16.5
,Wijk 01 Kruisland,28.7,28.1,26.4
,Wijk 02 De Heen,25.8,32.7,25
,Wijk 03 Dinteloord,26,36.1,20.2
,Wijk 04 Nieuw-Vossemeer,27.2,33.1,23
GM0852,Waterland,31,28.4,30.1
,Wijk 00 Monnickendam,29.1,30.4,26.9
,Wijk 01 Katwoude,36.8,21.1,50
,Wijk 02 Marken,29.6,30.2,26.3
,Wijk 03 Broek in Waterland,36.2,22.9,38.4
,Wijk 04 Ilpendam,31.1,27.5,30.9
,Wijk 05 Watergang,34.6,22.1,41.8
GM0855,Tilburg,24.9,48.4,15
,Binnenstad,26.9,68.4,7.1
,Hoogvenne,28.9,50,17.1
,Armhoef,31.6,26.6,31.3
,Jeruzalem,23.6,53.1,14.6
,Fatima,25.5,44.8,12.1
,Broekhoven,21.5,64.3,6.7
,Oerle,21.6,64.1,6.6
,Korvel,22.6,58.6,7.1
,Trouwlaan - Uitvindersbuurt,21.6,68.6,4.8
,Sint Anna,24.1,63.8,7.9
,Noordhoek,27.9,57,11.6
,Spoorzone Zuid,19.7,83.7,2.7
,Bouwmeester,24.1,55,10.3
,De Hasselt,21.3,57.4,7.8
,Het Goirke,23.2,60.4,8
,Groeseind-Hoefstraat,23.5,51.8,8.5
,Loven-Besterd,23.7,60.6,8.9
,Theresia,24.4,61.5,9.6
,Spoorzone Noord,36.5,45.9,9.8
,Kanaalzone,22.1,56.1,8.6
,Moerenburg,.,.,.
,De Leij,30.7,44.3,9.5
,Groenewoud,19.5,54.8,7.7
,Stappegoor,32.2,26.5,32
,Bedrijventerrein Het Laar,45.7,.,.
,De Blaak,35.4,10.9,41.7
,Zorgvlied,30.2,36.8,30.8
,De Reit,24,63.4,8.9
,Het Zand,20.4,65.1,5.9
,Wandelbos Noord,16.9,67.2,5.1
,Wandelbos Zuid,29.7,38.2,19
,De Oude Warande,.,.,.
,Stokhasselt,17.4,56,8.7
,Heikant,19.5,56.7,7.4
,Quirijnstok,25.2,35.1,15.4
,Ind.terrein Loven,26.3,32.5,19.5
,Bosscheweg,37.7,.,.
,Gesworen Hoek,22.1,41.7,10.5
,Huibeven,26.9,19.8,26.1
,Campenhoef,28.4,25.9,25.7
,Heyhoef,20.9,86,0
,Heerevelden,28.3,17.7,29.3
,Dongewijk,27.3,25.7,28.1
,Tuindorp De Kievit,28.1,20.8,29.9
,Leeuwerik,28.9,13.8,34.7
,Dalem Noord,26.1,19.3,27.6
,Dalem Zuid,26.6,22.5,28.9
,Koolhoven,28.8,13.7,41.5
,Witbrant,29.5,26.3,28.4
,Bedrijventerrein Kraaiven,.,.,.
,Bedrijventerrein Vossenberg,26.8,.,.
,De Katsbogten,.,.,.
,Buitengebied Tilburg Zuid-Oost,.,.,.
,Buitengebied Tilburg Zuid-West,35.3,23.2,34.8
,Buitengebied Tilburg Noord-Oost,26.6,34,31
,Buitengebied Tilburg Noord-West,.,.,.
,Berkel-Enschot,30.3,21,34.4
,Udenhout,28.7,24.7,28.3
,Biezenmortel,29.2,19.7,35.8
GM0858,Valkenswaard,27.3,37.5,18.9
,Wijk 00 Valkenswaard,27.4,41.8,17.5
,Wijk 01 Kloosterakkers en Dommelen,26.9,27.6,21.2
,Wijk 02 Borkel en Schaft,29.2,28.8,29.5
GM0861,Veldhoven,29.7,31.1,24.5
,Wijk 00 Veldhoven,28.2,35.2,20
,Wijk 01 Noordelijk Woongebied,31.2,23.6,30.5
,Wijk 02 Oerle,35.9,23.7,39.6
GM0865,Vught,32.3,32.1,30.4
,Wijk 00 Vught,37.9,30.1,37
,Wijk 01 Vught-Zuid,27.2,36.5,22.4
,Wijk 02 Cromvoirt,33.9,26.8,39.4
,Wijk 03 Helvoirt,29.8,27.2,31.7
GM0866,Waalre,33.5,26.2,32
,Wijk 00 Waalre,33.5,26.2,32
GM0867,Waalwijk,25.9,38,18.7
,Wijk 00 Waalwijk,25.3,41.3,16.1
,Wijk 01 Sprang-Capelle,26.8,32.4,22.7
,Wijk 02 Waspik,26.5,31.2,24.8
GM0873,Woensdrecht,26.6,33.5,20.8
,Wijk 00 Hoogerheide en Woensdrecht,26.6,33.3,21.2
,Wijk 01 Huijbergen,29.7,26.5,29.4
,Wijk 02 Ossendrecht,26.8,31.7,21
,Wijk 03 Putte,24.7,39.9,15.1
GM0879,Zundert,26.8,33.2,24.3
,Wijk 00 Zundert,25.3,37.4,18.4
,Wijk 01 Klein - Zundert,30,20.2,40.9
,Wijk 02 Wernhout,25.6,35.4,19.5
,Wijk 03 Achtmaal,26.2,29.3,25.1
,Wijk 04 Rijsbergen,28.3,31.5,28.9
GM0880,Wormerland,28,33.2,24
,Wijk 00 Wormer,27.3,35,22.2
,Wijk 01 Wijdewormer,31.2,22.5,35.1
,Wijk 02 Jisp,32.1,25.7,32.4
GM0882,Landgraaf,25,42.1,13.8
,Wijk 00 Schaesberg,25.1,41.5,13.2
,Wijk 01 Nieuwenhagen,25.1,44.7,12.8
,Wijk 02 Ubach over Worms,24.6,40.8,15.4
GM0888,Beek,27.7,35.1,20.5
,Wijk 00 Beek - Spaubeek,27.4,36.6,19.3
,Wijk 01 Beek-Zuid,30,21.1,31.8
GM0889,Beesel,24.6,36.6,17.1
,Wijk 00 Reuver,23.7,38.3,15
,Wijk 01 Beesel,28.4,28.7,26.5
GM0893,Bergen (L.),24.9,33.9,19.7
,Aijen,29.3,17.3,26.9
,Oud-Bergen,28.1,23,25
,Nieuw-Bergen,24.1,38.6,16.4
,Afferden,25.3,32.1,22.9
,Siebengewald,24.3,32.6,18.5
,Well,24.9,32.5,20.3
,Wellerlooi,26.1,28.3,25.8
GM0899,Brunssum,23.9,46.1,11.3
,Wijk 01 Brunssum-West,24.6,38.3,15.2
,Wijk 02 Brunssum-Noord,22.3,55.1,7.7
